Epoch,FP32_loss
1,4.651576839749466
2,3.285744065823762
3,2.869954398830833
4,2.5637159853640115
5,2.328339092566839
6,2.164803245183452
7,2.0488841131215207
8,1.9516437267098585
9,1.8865455477438924
10,1.8491664774277632
11,1.8241300628618207
12,1.789689159149404
13,1.76630880979016
14,1.7451808818465913
15,1.7292856535948147
16,1.7120601969301854
17,1.6944748833966072
18,1.6878506207405148
19,1.6713222856716732
20,1.6547640818159293
21,1.6622054793340775
22,1.6342641270678977
23,1.6295156936206476
24,1.624189149083384
25,1.618606562809566
26,1.6097121885060655
27,1.609281294181219
28,1.5983210347802437
29,1.5917119778635558
30,1.1809864780482124
31,1.0622536601008052
32,1.0185273900971084
33,0.9922399505629869
34,0.9796770696749773
35,0.9737792704111475
36,0.9645850899274392
37,0.950687938334082
38,0.9509782059418271
39,0.9492571532268963
40,0.9494550908008195
41,0.9422264762241822
42,0.9386892989468392
43,0.9430103643471018
44,0.9320582540138908
45,0.9294813665587579
46,0.9381945651510487
47,0.9312506255591312
48,0.9205349913948332
49,0.9218282070001373
50,0.9153497333416853
51,0.9047076903340762
52,0.9120514440109663
53,0.9067445319631825
54,0.9053048099703191
55,0.8904830206690542
56,0.8925726424397715
57,0.8873924186162632
58,0.878932925746264
59,0.8880343999704132
60,0.6508848253265976
61,0.5675613685032291
62,0.5370029006010432
63,0.5146612068423835
64,0.5016807281147794
65,0.48191057134162435
66,0.47357408043063814
67,0.4605045417690521
68,0.4491729321687118
69,0.4423016704561765
70,0.43248063272527415
71,0.4268859650777734
72,0.4226553967541746
73,0.4125048776569269
74,0.407380329525989
75,0.4053457243668149
76,0.39843624765458313
77,0.39583838214654754
78,0.39051693273932125
79,0.3929916640834125
80,0.38215233507516133
81,0.3777505811065664
82,0.37417714564544163
83,0.3704048152393697
84,0.37014274649760304
85,0.3694206678196597
86,0.36560750773648165
87,0.3679315002677995
88,0.36019304657683654
89,0.3605975930571861
90,0.2902478801319971
91,0.2600515908978479
92,0.24581709910003122
93,0.24211209151141175
94,0.23421060030951218
95,0.22498439652535618
96,0.23298845826969733
97,0.22410283548295346
98,0.22233560469830432
99,0.21813335565045056
100,0.2184715432965237
0.7068
37.24
