Epoch,AMP_loss
1,4.295720557727472
2,3.803940182756585
3,3.3972265439874985
4,3.0381040457264543
5,2.685544628621367
6,2.408487776051397
7,2.194031348008939
8,2.0674452217643524
9,1.9529260271955329
10,1.8789376148482417
11,1.82062138742803
12,1.7729717871112287
13,1.7218249676477573
14,1.6866192012796621
15,1.6437629577144028
16,1.6193338824659966
17,1.602485649421087
18,1.559715898140617
19,1.5454519849908932
20,1.511048700498498
21,1.5070883996041535
22,1.4892880440977834
23,1.4704842451588271
24,1.4529830199068465
25,1.4561040767318452
26,1.427618729793812
27,1.426317474726216
28,1.4072581782670277
29,1.3940377304011293
30,0.8858994905601072
31,0.7395240033374113
32,0.6723706804577957
33,0.6364094887090765
34,0.5979131701047463
35,0.5719621643385924
36,0.5482852936858107
37,0.5411397160014229
38,0.5330099524439448
39,0.5155524260095318
40,0.5151927167040002
41,0.5038137590641256
42,0.4858125481764069
43,0.47641931920100355
44,0.48441847808220806
45,0.4666853797862597
46,0.45604301291658444
47,0.4595192533243648
48,0.446277772145503
49,0.42267916037146086
50,0.4306034534559835
51,0.41008664663795313
52,0.3984662314967426
53,0.39807866426075206
54,0.3985731689750081
55,0.3791038698476294
56,0.3734433721855778
57,0.3745327459653015
58,0.3612964107938435
59,0.359923420621611
60,0.14309859268195793
61,0.0821242249520767
62,0.06310466222007714
63,0.054683091509563235
64,0.04887342363443521
65,0.04325268776310832
66,0.03869315238950579
67,0.03657393438069869
68,0.034827772339763086
69,0.033343374321851735
70,0.02966020559973043
71,0.03028648447893236
72,0.02778484117325462
73,0.027853939541713203
74,0.02602801793981391
75,0.024725399153959722
76,0.02426501443309476
77,0.024103131271479533
78,0.023370395321637163
79,0.022789138407372605
80,0.021713229375021993
81,0.021841356587951142
82,0.020530726024618997
83,0.02164693990641314
84,0.020893947366634597
85,0.02005145770480947
86,0.02023493725796947
87,0.019257703017148062
88,0.01863208060364818
89,0.019784128026622334
90,0.01779067565870407
91,0.016012801367151157
92,0.01506333988960213
93,0.015403699534742729
94,0.015944418356851543
95,0.01535166583269301
96,0.014742747139747795
97,0.014879257444416165
98,0.013986942758474051
99,0.014283693979120316
100,0.014343071304966726
0.78
72.38
