Epoch,AMP_loss
1,4.18424535834271
2,3.5733653553916365
3,3.1014532219723363
4,2.6905426924185987
5,2.412160880425397
6,2.1938584860023633
7,2.0337841647970096
8,1.9218449571248515
9,1.8239496464619551
10,1.7589521243444184
11,1.6954908377069342
12,1.652023408419031
13,1.6059372525690767
14,1.580186027700029
15,1.5393919520975683
16,1.5160613303904034
17,1.4883855846531862
18,1.4725981709902243
19,1.4496794618913889
20,1.423199672223357
21,1.4066389722897268
22,1.3976622341234055
23,1.3772918145979762
24,1.3727032429421955
25,1.3642180674826092
26,1.3564937965339408
27,1.3377351940745283
28,1.3292090138206092
29,1.318779418383108
30,0.8424135948081151
31,0.7120225546152695
32,0.6598155287373096
33,0.631151274113399
34,0.6108800411376807
35,0.5921036909760722
36,0.5796174358224015
37,0.5718821655301487
38,0.5685616321575916
39,0.5566526742847374
40,0.5548250702640894
41,0.5449170276636968
42,0.5457156543689006
43,0.553238931595517
44,0.5347507573149698
45,0.5402358303899351
46,0.5185456145602418
47,0.5328675351484352
48,0.514662294665261
49,0.5081637455221942
50,0.50396996195359
51,0.497862951606131
52,0.496485125606932
53,0.4830540747898619
54,0.48332249020676477
55,0.4732453647019613
56,0.47580098915283026
57,0.4719248224249886
58,0.46134413302402055
59,0.4577742430483899
60,0.215136945038043
61,0.13679322767097626
62,0.11216640931642269
63,0.09683037151003737
64,0.08617465619159781
65,0.0768012423020647
66,0.0710376821877554
67,0.06428699670335673
68,0.06067264848448279
69,0.05634992728319467
70,0.05421773515775076
71,0.051564808932545086
72,0.04742614601922157
73,0.04568613344884437
74,0.043593062328465305
75,0.042997405595143735
76,0.04021106686328759
77,0.039088051718519166
78,0.036955476050143654
79,0.03791996311929906
80,0.036010636700331555
81,0.03428184348003715
82,0.03672360474019862
83,0.03536622042593825
84,0.034211059543959164
85,0.033784281190894445
86,0.032282434420569626
87,0.03241615895601108
88,0.03143256195985219
89,0.032305761242804626
90,0.025859601955260613
91,0.019922604224623164
92,0.018364829768705397
93,0.017412042888381597
94,0.01713042896564888
95,0.016988879584176157
96,0.016055694362029548
97,0.01589844968941663
98,0.015706264447239812
99,0.014957983704174267
100,0.015019913706595025

0.3407

33.6
