Epoch,FP32_loss
1,4.288448669111637
2,4.016600679558561
3,3.822181031527117
4,3.6581349976532294
5,3.4926792752102513
6,3.309360329147495
7,3.1400998108222358
8,3.008878854839393
9,2.8975422351866427
10,2.793371599958376
11,2.7235810220089105
12,2.6511736763712697
13,2.5909706777928734
14,2.5261990371567515
15,2.481446505812428
16,2.4347092940679294
17,2.3978873369333993
18,2.3676392279012735
19,2.321570689720876
20,2.296436841225685
21,2.265224065012334
22,2.2348781318006004
23,2.23799388731837
24,2.2023846487255048
25,2.2020069787569363
26,2.1673943447639874
27,2.1430460104856954
28,2.133929984648819
29,2.1309654456575204
30,1.5741998612728265
31,1.4198402266977999
32,1.361995095792024
33,1.311519193070014
34,1.2925446798734348
35,1.2624674776326055
36,1.241604665051336
37,1.2239778904658754
38,1.210356651669573
39,1.2039907957281908
40,1.1899509387248008
41,1.1849727818118336
42,1.1616329492815316
43,1.1567287557875103
44,1.15079284263084
45,1.1391794344653254
46,1.1258457240546147
47,1.1261366788688523
48,1.1003799999461454
49,1.0810082945067558
50,1.0891973682681617
51,1.0642744270736908
52,1.0571039130010873
53,1.0544860032208436
54,1.0352249113495087
55,1.0151926242482021
56,1.014685367074464
57,1.0016435111879998
58,0.9916087933208632
59,0.9813848244564612
60,0.6534877504076799
61,0.5427866230535385
62,0.5085838780836072
63,0.4718988260344776
64,0.4458318651484711
65,0.42744467215007526
66,0.408028892886913
67,0.3889005206658712
68,0.3808721220096969
69,0.3588303915984795
70,0.35324629184687534
71,0.34498560973597914
72,0.33229251434583496
73,0.31514776336110156
74,0.31234465282210305
75,0.3059353341760538
76,0.29856510081178395
77,0.29718721648463814
78,0.2870614342296215
79,0.2799583435096704
80,0.2771278702656326
81,0.26617175451172587
82,0.26850765577667507
83,0.2682761936388967
84,0.26082808118494577
85,0.25930658377268734
86,0.2570525593388721
87,0.252477013394046
88,0.24883372813005886
89,0.23844542375306035
90,0.1596821307507165
91,0.12824688798478803
92,0.11668099480135666
93,0.10785013901265077
94,0.09938170654637277
95,0.10039992558548365
96,0.09087007475631012
97,0.08675325580913087
98,0.08881718557223182
99,0.0819627847760687
100,0.08133505538458485
0.7008
17.21
