op_name,input_shape,exec_dtype,avg_exec_time
conv2d-1,"torch.Size([64, 3, 224, 224])",torch.float16,0.5726226058322936
relu-2,"torch.Size([64, 64, 55, 55])",torch.float16,0.047220950946211815
max_pool2d-3,"torch.Size([64, 64, 55, 55])",torch.float16,0.11341450503095984
conv2d-4,"torch.Size([64, 64, 27, 27])",torch.float16,0.735509090591222
relu-5,"torch.Size([64, 192, 27, 27])",torch.float16,0.031357804546132684
max_pool2d-6,"torch.Size([64, 192, 27, 27])",torch.float16,0.07477252162061632
conv2d-7,"torch.Size([64, 192, 13, 13])",torch.float16,0.3255346545483917
relu-8,"torch.Size([64, 384, 13, 13])",torch.float16,0.023781590862199664
conv2d-9,"torch.Size([64, 384, 13, 13])",torch.float16,0.36261582747101784
relu-10,"torch.Size([64, 256, 13, 13])",torch.float16,0.02377276890911162
conv2d-11,"torch.Size([64, 256, 13, 13])",torch.float16,0.2628304797690362
relu-12,"torch.Size([64, 256, 13, 13])",torch.float16,0.02364887739531696
max_pool2d-13,"torch.Size([64, 256, 13, 13])",torch.float16,0.03408979042433202
linear-14,"torch.Size([64, 9216])",torch.float16,0.26998199988156557
relu-15,"torch.Size([64, 4096])",torch.float16,0.023946112487465143
dropout-16,"torch.Size([64, 4096])",torch.float16,0.03261198289692402
linear-17,"torch.Size([64, 4096])",torch.float16,0.11630587046965957
relu-18,"torch.Size([64, 4096])",torch.float16,0.013641893165186048
dropout-19,"torch.Size([64, 4096])",torch.float16,0.03097721142694354
linear-20,"torch.Size([64, 4096])",torch.float16,0.050875936867669225
