Epoch,fp32_loss
1,6.422615013922845
2,5.6903038329773254
3,5.579396500716081
4,5.536903510250888
5,5.508785987305236
6,5.492043480887399
7,5.4842392651827545
8,5.4770845847649055
9,5.473251953563252
10,5.472400806095455
11,5.483107428498321
12,5.475520463423296
13,5.470955423970561
14,5.466156747743681
15,5.471863188919845
16,5.469552749687142
17,5.466376213546281
18,5.479952545909138
19,5.469634075431557
20,5.4768254346780845
21,5.485648278970937
22,5.481191069405753
23,5.483384725263902
24,5.473062547556051
25,5.479194165705206
26,5.490552965196577
27,5.485397282370797
28,5.485879621591482
29,5.487950100646271
30,4.565386204524236
31,4.265981723068954
32,4.138676296914374
33,4.061327441755708
34,4.009322104658875
35,3.97385755838095
36,3.9477908041570093
37,3.929076897061907
38,3.9080397217661944
39,3.8929358869642168
40,3.8810707569122314
41,3.868383229148019
42,3.8640889827068987
43,3.8544206093836735
44,3.8480408344592725
45,3.8394890025421815
46,3.8331926201964235
47,3.830258491632345
48,3.824629110294384
49,3.821618234194242
50,3.819974298791571
0.3177
1163.78
