Epoch,amp_loss
Epoch,amp_loss
Epoch,amp_loss
1,5.667421220899461
2,5.083814692997432
3,4.928852756349714
4,4.87824546464316
5,4.850839079629172
6,4.8394230380044
7,4.829497885918403
8,4.832955780515185
9,4.829525108889981
10,4.834026640969199
11,3.684747763542267
12,3.4497814766772383
13,3.3395005873033217
14,3.27058048965214
15,3.2290034893866664
16,3.2006752220186203
17,3.1762667135997016
18,3.1615183442741723
19,3.1486633082131643
20,3.138857829439771
21,2.4571953924862178
22,2.344757426606787
23,2.3280434683129028
24,2.3165120628211167
25,2.3056132306585777
26,2.2959872024280803
27,2.282509713322966
