Epoch,fp32_loss
1,3.8168955265529574
2,1.8292402653467088
3,0.8915626056610592
Epoch,fp32_loss
1,3.81836027569241
2,1.8477914144122412
3,0.8844580929430704
0.58
Epoch,fp32_loss
1,5.508173533848354
2,4.208012172154018
3,3.4512758255004883
0.06
Epoch,fp32_loss
1,5.508174010685512
2,4.208142893654959
3,3.4499967438834056
0.06
Epoch,fp32_loss
1,5.508202144077846
2,4.20818144934518
3,3.4483790738242015
0.06
Epoch,fp32_loss
1,5.304603385925293
2,3.906996250152588
3,3.1108139514923097
0.09
Epoch,fp32_loss
1,5.280734491348267
2,3.9147377729415895
3,3.105753254890442
0.1
Epoch,fp32_loss
1,5.280727338790894
2,3.914265537261963
3,3.105351209640503
0.1
