Epoch,amp_loss
1,5.610142299107143
2,4.333609444754464
3,3.5409633091517856
4,2.9664306640625
5,2.4626246861049106
6,2.009690420968192
7,1.5018081665039062
8,1.029930795942034
9,0.8677349431174142
10,0.6351632390703473
0.12
Epoch,amp_loss
1,5.610124860491071
2,4.333574567522321
3,3.542271205357143
4,2.9679652622767856
5,2.4691685267857144
6,1.9793881007603236
7,1.5282328469412667
8,1.0302178859710693
9,0.9719021660940987
10,0.7554003851754325
0.12
Epoch,amp_loss
1,5.610212053571429
2,4.333478655133929
3,3.5426810128348216
4,2.961700439453125
5,2.4743456159319197
6,2.0190396990094865
7,1.4568375178745814
8,1.0071910449436732
9,0.8228662014007568
10,0.6091175419943673
0.13
