Epoch,amp_loss
Epoch,amp_loss
1,5.610281808035714
2,4.333199637276786
3,3.544948032924107
4,2.9650399344308034
5,2.4702235630580356
0.06
Epoch,amp_loss
1,5.610194614955357
2,4.333295549665179
3,3.541717529296875
4,2.961796351841518
5,2.4604993547712053
0.07
Epoch,amp_loss
1,5.8404388427734375
2,4.932167053222656
3,4.3748626708984375
4,3.6683120727539062
5,3.29193115234375
0.07
Epoch,amp_loss
1,5.610299246651786
2,4.333243233816964
3,3.5398995535714284
4,2.95965576171875
5,2.462129865373884
0.06
