Epoch,FP16_loss
1,5.718052455357143
2,4.676159917091836
3,4.660355548469388
4,4.6528021364795915
5,4.526426977040816
6,4.3374322385204085
7,4.189991230867347
8,4.0605169802295915
9,3.9216458067602042
10,3.8059131855867347
11,3.6616310586734695
12,3.5641940369897958
13,3.4684610172193877
14,3.3361367984693877
15,3.2288046077806123
16,3.1105807557397958
17,2.9861786511479593
18,2.8828523596938775
19,2.789012675382653
20,2.7211515465561225
21,2.655970982142857
22,2.5840242346938775
23,2.5344985650510203
24,2.47721022002551
25,2.432228555484694
26,2.3897381218112246
27,2.3390066964285716
28,2.301219706632653
29,2.2771045918367347
30,1.8922741948341837
31,1.7916334502551021
32,1.745944276147959
33,1.7152473294005102
34,1.6830207669005102
35,1.666194993622449
36,1.643161073022959
37,1.6258021763392858
38,1.6199627311862246
39,1.5970483896683674
40,1.5831224091198979
41,1.5668347417091837
42,1.554458306760204
43,1.5461824378188775
44,1.5291623485331634
45,1.509715800382653
46,1.5038663903061225
47,1.4915746572066326
48,1.475391621492347
49,1.4670808753188775
50,1.4500358737244898
0.5635
3.74
