Epoch,FP16_loss
1,5.756883609051607
2,4.476398287987222
3,4.278301024923519
4,4.083632770849734
5,3.9085409057383633
6,3.7659970692225864
7,3.6438373789495353
8,3.521239339088907
9,3.3842363807619833
10,3.2610365614599113
11,3.119806000164577
12,3.0032341772196243
13,2.8655465208754247
14,2.786638171088939
15,2.690905527192719
16,2.6137354641544577
17,2.5394008500235423
18,2.4885358250870997
19,2.41774529461958
20,2.360364832440201
21,2.336845726382976
22,2.2682706117630005
23,2.2401073295242933
24,2.2009562904737434
25,2.180064410579448
26,2.1490351204969445
27,2.1360217381496818
28,2.0920615342198587
29,2.086686437835499
30,1.68589834473571
31,1.5649985768357102
32,1.5362099974739307
33,1.4973359412076521
34,1.4717971585234817
35,1.4583689540016407
36,1.432537475410773
37,1.4230314845941505
38,1.402588129043579
39,1.3916196312223161
40,1.3765504579154813
41,1.3667814609955768
42,1.3560001053372208
43,1.3435381875962626
44,1.3181234887059854
45,1.316487876736388
46,1.3064662376228644
47,1.297791885478156
48,1.2762313406078183
49,1.2712121770089986
50,1.2648829471091836
0.5875
3.65
