Epoch,AMP_loss
1,5.881151126355541
2,4.53867684578409
3,4.309921619843464
4,4.203211706511828
5,4.092515838389494
6,3.9449364226691577
7,3.8131874203681946
8,3.6785921490922266
9,3.5743598390598685
10,3.4534404618399486
11,3.2990634830630556
12,3.1724152005448634
13,3.039866412172512
14,2.965817301857228
15,2.862696662241099
16,2.773257205680925
17,2.696334360813608
18,2.6350681696619307
19,2.573419507668943
20,2.517454762848056
21,2.4457613375722147
22,2.412805951371485
23,2.3593651445544497
24,2.3185200581745224
25,2.280153346304991
26,2.261888695006468
27,2.2236592118837395
28,2.179927684822861
29,2.164092264005116
30,1.7862594115490815
31,1.6781059400159486
32,1.6443360180270916
33,1.6077383671488081
34,1.5849418256964003
35,1.5568009310839128
36,1.5408302959130735
37,1.5333127732179603
38,1.5147780709120693
39,1.49896255865389
40,1.4912331116442779
41,1.4726972506970775
42,1.455977933747428
43,1.439893689690804
44,1.4266604945367696
45,1.4333281760313072
46,1.4104035727831783
47,1.4001473522916132
48,1.3901292116058117
49,1.366396920413387
50,1.3587772298832328
0.5715
3.68
