Epoch,emp_loss
1,4.585788026147959
2,3.946318957270408
3,3.691715162627551
4,3.4905831473214284
5,3.2861328125
6,3.1016023596938775
7,2.9306740274234695
8,2.7718231823979593
9,2.63671875
10,2.527812101403061
11,2.1042430644132653
12,1.9724968112244898
13,1.9122189891581634
14,1.8559321189413265
15,1.801742865114796
16,1.742740553252551
17,1.7051179846938775
18,1.6665288185586735
19,1.6276108099489797
20,1.5899583466198979
21,1.3772321428571428
22,1.3035714285714286
23,1.2686792490433674
24,1.2421775350765305
25,1.2108328683035714
26,1.1947719029017858
27,1.1736288265306123
28,1.1521070830676021
29,1.127002949617347
30,1.102554009885204
31,1.0280736806441326
32,1.0067537268813775
33,0.9920953244579082
34,0.9848084741709183
35,0.9662313655931123
36,0.9684062101403061
37,0.9609873246173469
38,0.9638447664221939
39,0.9566451092155612
40,0.9455815529336735
41,0.9305220623405612
42,0.9281902702487245
43,0.9249915298150511
44,0.9240747568558674
45,0.918937838807398
46,0.930900729432398
47,0.9230110012755102
48,0.9231255978954082
49,0.9157515545280612
50,0.9257638113839286
0.6214
4.14
