Epoch,emp_loss
1,5.802933673469388
2,4.560526945153061
3,4.338887117346939
4,4.198441485969388
5,4.086654974489796
6,3.9297273596938775
7,3.817173549107143
8,3.69271165497449
9,3.569774394132653
10,3.4456612723214284
11,3.1372668207908165
12,3.0497349330357144
13,2.9832489636479593
14,2.9362643494897958
15,2.8698979591836733
16,2.8157983896683674
17,2.770298549107143
18,2.7113062021683674
19,2.663036112882653
20,2.6170679209183674
21,2.44449537627551
22,2.414989237882653
23,2.390704719387755
24,2.375752351721939
25,2.3626733896683674
26,2.341278698979592
27,2.3308852838010203
28,2.315215441645408
29,2.308783083545918
30,2.293407206632653
31,2.2403539540816326
32,2.224071269132653
33,2.2234335140306123
34,2.2268465003188775
35,2.212128308354592
36,2.209781568877551
37,2.2115951849489797
38,2.2138273278061225
39,2.2096271125637754
40,2.2043058434311225
41,2.191127232142857
42,2.193409199617347
43,2.1950583944515305
44,2.194958745216837
45,2.1933145328443877
46,2.1896922831632653
47,2.1968969228316326
48,2.195182955994898
49,2.19547193877551
50,2.195945272640306
51,2.1951630261479593
52,2.1935985331632653
53,2.1840421715561225
54,2.1913813376913267
55,2.1920141103316326
56,2.190982740752551
57,2.1890096859056123
58,2.187634526466837
59,2.1926120057397958
60,2.1926867426658165
0.4228
4.14
