Epoch,FP32_loss
1,4.272385388004537
2,3.7771651258274
3,3.397238608525724
4,3.0389316009015452
5,2.6956121982360375
6,2.4062322816070245
7,2.1636652502478384
8,1.9758417764488532
9,1.827178951428861
10,1.6928065121173859
11,1.6179549633240213
12,1.5370055510073293
13,1.4802520597467617
14,1.425430384825687
15,1.380048476919836
16,1.3366006010649156
17,1.31301833415518
18,1.2710374496421035
19,1.261687463947705
20,1.2347752853315703
21,1.1973385336447735
22,1.176182903197347
23,1.163614492027127
24,1.129034299631508
25,1.126492705576274
26,1.0964360288819488
27,1.0811536555387535
28,1.0640294852913643
29,1.0577572520290102
30,0.6395895958554988
31,0.49037376487133455
32,0.4274084815869526
33,0.3838124272166466
34,0.34762957304412007
35,0.3161309241336219
36,0.29092495052181944
37,0.27476063758438946
38,0.2561455079335339
39,0.25017985800395204
40,0.243396701405243
41,0.22740320663671104
42,0.22466641177936475
43,0.2168813003037049
44,0.20875014615606288
45,0.20787619046714842
46,0.20916429990712476
47,0.19423131492673135
48,0.1945460941262391
49,0.1974219778666691
50,0.18953428592304794
51,0.19330798530456972
52,0.18525774206738083
53,0.19021908570157023
54,0.1913751462588505
55,0.1890328139522854
56,0.186278191071992
57,0.18528807459741223
58,0.19612591496991869
59,0.18532511667937648
60,0.07571531946257669
61,0.040798195105578215
62,0.032295973277745804
63,0.02714609638882839
64,0.024127126329255347
65,0.022284989150203004
66,0.020258230843809337
67,0.01941300720945761
68,0.01790274047691907
69,0.01713385605443345
70,0.016071733016026567
71,0.016046809902110576
72,0.014602695066690902
73,0.014644139852583865
74,0.014614562292545274
75,0.014285637780890934
76,0.013873606713545717
77,0.013274481928698262
78,0.013312374947269504
79,0.012844720180621562
80,0.012586857790925674
81,0.0123359248640814
82,0.012475121958770466
83,0.01234943108224519
84,0.01205672633273489
85,0.011643860429734448
86,0.011705370629396366
87,0.012936175254420663
88,0.011617981075613322
89,0.011350344358088106
90,0.010949976730388495
91,0.010569931967754145
92,0.010358824473045463
93,0.01048637515561161
94,0.010645576991492465
95,0.010361037433280476
96,0.009905347210944307
97,0.010537969197944872
98,0.010196014480874399
99,0.0100783653229437
100,0.009918798176970865
0.7713
175.26
