Epoch,AMP_loss
1,4.294867610444828
2,3.6583488461922626
3,3.250277035090388
4,2.904800057411194
5,2.5741724444895375
6,2.3294571735421004
7,2.1218660960392075
8,1.9489299235295277
9,1.8049930930137634
10,1.6868575847878748
11,1.588893786985047
12,1.5123498099190849
13,1.4433370457620036
14,1.3909817483960365
15,1.3366144475888233
16,1.3012044295972707
17,1.2632959156620258
18,1.2293586925584443
19,1.204034751471208
20,1.1690826108869241
21,1.162831048272094
22,1.129388201297546
23,1.110001732500232
24,1.1026071510752853
25,1.0773594692653539
26,1.0722253270903412
27,1.0515106968125518
28,1.0420609232114286
29,1.0305497320939083
30,0.6413024683692017
31,0.5064528692437678
32,0.4542229733600908
33,0.41407185215122844
34,0.38482443440933617
35,0.3595011946650184
36,0.3400960974395275
37,0.3242473898797619
38,0.3112231248191425
39,0.29648071512275814
40,0.2884461050282936
41,0.28456473806682897
42,0.27588739542632684
43,0.27076202653804604
44,0.2690278956172418
45,0.26771822381688626
46,0.26008066344930203
47,0.2600204302188085
48,0.25865525516624355
49,0.261486146979186
50,0.26020241224644136
51,0.2626806883027359
52,0.24657665010617705
53,0.2392908457134451
54,0.25019164505053537
55,0.2511546834543043
56,0.24549551346168227
57,0.24141358196431276
58,0.24351040517189065
59,0.2430317871728722
60,0.10655120110177264
61,0.06155249090599162
62,0.05084554537446523
63,0.04384691403152383
64,0.03804228324633168
65,0.035049203821286866
66,0.03254467487924409
67,0.031084639885063683
68,0.02844270308292946
69,0.025101364205344295
70,0.025771545360282977
71,0.023801402488191212
72,0.024374824972367103
73,0.023116412382496863
74,0.022288872166631783
75,0.020971405220084956
76,0.021266386573373968
77,0.01961979634907781
78,0.01891118473354347
79,0.01793738486416334
80,0.017692711042734434
81,0.017160589065478772
82,0.017241477548163766
83,0.01712886015029282
84,0.016858773408172538
85,0.01800870456096089
86,0.015865186668875417
87,0.016062053984829357
88,0.015290029679558106
89,0.015914066568758264
90,0.014473491697572172
91,0.013976810530911446
92,0.012956743656030419
93,0.012522369943920295
94,0.012902690651256363
95,0.012346862185727425
96,0.012312043926260454
97,0.012122816715047372
98,0.01175865879500931
99,0.01189518649112053
100,0.011682840596352304
0.7653
47.8
